,species,vernacularName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,eventRemarks,locality,locationRemarks,occurrenceRemarks,stateProvince,year,month,basisOfRecord,taxonRank,taxonomicStatus
21,Plethodon chlorobryonis,,34.297281,-79.831995,501.0,WGS84,,,,,South Carolina,2016.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
22,Plethodon chlorobryonis,,34.297281,-79.831995,501.0,WGS84,,,,,South Carolina,2016.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
23,Plethodon chlorobryonis,,34.298104,-79.831638,109.0,WGS84,,,,DarganTract in behind darlington country club,South Carolina,2016.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
24,Plethodon chlorobryonis,,34.318023,-77.760004,156.0,WGS84,,,,,North Carolina,2016.0,11.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
25,Plethodon chlorobryonis,,34.054812,-79.001893,,WGS84,,,,Slimy Salamander found at Playcard Environmental Education Center.,South Carolina,2015.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
26,Plethodon chlorobryonis,,35.356058,-76.972189,947.0,WGS84,,,,,North Carolina,2015.0,12.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
27,Plethodon chlorobryonis,,34.925362,-79.108873,28762.0,WGS84,,,,,North Carolina,2015.0,12.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
28,Plethodon chlorobryonis,,34.722303,-76.963263,100.0,WGS84,,,,,North Carolina,2014.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
29,Plethodon chlorobryonis,,34.481246,-79.194185,54.0,WGS84,,,,,North Carolina,2014.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
30,Plethodon chlorobryonis,,33.148691,-80.699687,439.0,WGS84,,,,,South Carolina,2014.0,5.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
31,Plethodon chlorobryonis,,33.22064,-80.354196,195.0,WGS84,,,,,South Carolina,2014.0,9.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
32,Plethodon chlorobryonis,,35.357612,-76.973777,800.0,WGS84,,,,,North Carolina,2014.0,12.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
33,Plethodon chlorobryonis,,34.794312,-83.127355,646.0,WGS84,,,,,South Carolina,2013.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
34,Plethodon chlorobryonis,,34.594967,-79.144638,54.0,WGS84,,,,"Actually saw 12 of these in two days, but only took a photo of this one.",North Carolina,2013.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
35,Plethodon chlorobryonis,,34.488377,-79.195204,6.0,WGS84,,,,Son found this in a dry ditch. Small white flecks all over it.,North Carolina,2012.0,5.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
36,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.3128,-79.7267,4828.0,WGS84,,"Lowther's Lake, [ca. 8.6 airmi. E center Darlington]",,,South Carolina,2008.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
37,Plethodon chlorobryonis,,34.196243,-80.182565,654.0,WGS84,,,,,South Carolina,2007.0,1.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
38,Plethodon chlorobryonis,,34.196314,-80.182951,702.0,WGS84,,,,,South Carolina,2007.0,1.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
39,Plethodon chlorobryonis,,35.376227899562366,-77.43532335158059,86.0,WGS84,,50 M N LEHMAN DRIVE & RAILROAD EASEMENT,,"WT = 2.544G; UNDER DISCARDED RAILROAD TIES IN WETLAND WITH  MIXED HARDWOOD, RED MAPLE & GUM ASSOCIATION",North Carolina,2005.0,2.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
40,Plethodon chlorobryonis,,35.376227899562366,-77.43532335158059,86.0,WGS84,,50 M N LEHMAN DRIVE & RAILROAD EASEMENT,,"MALE, WT = 5.065G; UNDER DISCARDED RAILROAD TIES IN WETLAND WITH  MIXED HARDWOOD, RED MAPLE & GUM ASSOCIATION",North Carolina,2005.0,2.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
41,Plethodon chlorobryonis,,33.0497,-80.51077,,WGS84,,,,,South Carolina,2005.0,2.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
42,Plethodon chlorobryonis,,35.376227899562366,-77.43532335158059,86.0,WGS84,,50 M N LEHMAN DRIVE & RAILROAD EASEMENT,,"MALE, WT = 4.360G; UNDER DISCARDED RAILROAD TIES IN WETLAND WITH  MIXED HARDWOOD, RED MAPLE & GUM ASSOCIATION",North Carolina,2005.0,2.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
43,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.1819,-79.1742,201.0,WGS84,,"Fork Retch Wildlife Refuge, [ca. 4.9 airmi. ESE center] Mullins",,,South Carolina,2005.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
44,Plethodon chlorobryonis,,34.94971,-76.98793,,WGS84,,,,,North Carolina,2005.0,7.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
45,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,35.0935,-79.5633,402.0,WGS84,,5.3 miles [= air miles] WSW Pinebluff,,,North Carolina,2004.0,2.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
46,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.8256,-78.8425,,WGS84,,ca. 2.2 air miles E Tobermory,,,North Carolina,2004.0,5.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
47,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.5642,-78.4794,,WGS84,,"ca. 4.3 air miles NE Lisbon, west [south] bank of Cape Fear River",,Very small,North Carolina,2004.0,5.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
48,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.1444,-82.0141,,WGS84,,[ca. 2.2 mi. S.SE Ninety Six],,,South Carolina,2003.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
49,Plethodon chlorobryonis,,34.1764,-78.3936,,WGS84,,"Makatoka, ca. 4 mi (airline) NNE of, 0.25 mi N of Brunswick County line on Tram Road, Green Swamp",,,North Carolina,2002.0,11.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
50,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.7984,-76.9496,1609.0,WGS84,,5.25 air miles W.NW Newport,,Under log in longleaf pine woods.,North Carolina,2001.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
51,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.366,-79.7038,4023.0,WGS84,,"Great Pee Dee River Heritage Preserve, [ca. 10.8 airmi. ENE center Darlington]",,,South Carolina,2000.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
52,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,33.9307,-79.9781,201.0,WGS84,,"Woods Bay State Park, south sand  rim, [ca. 3.6 airmi. NE center Turbeville]",,,South Carolina,2000.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
53,Plethodon chlorobryonis,,36.2133,-77.5772,,WGS84,,"Crowells Crossroads, SW of, 1.4 mi (by road) SW of the junction of NC Routes 125 and 481, on Route 481",,,North Carolina,1999.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
54,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
55,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
56,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
57,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
58,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
59,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
60,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
61,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
62,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
63,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1999.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
64,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,35.1474,-78.8538,,WGS84,,6.75 air miles N.NE center Fayetteville,,,North Carolina,1999.0,5.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
65,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,33.2308,-79.5175,,WGS84,,"Francis Marion National Forest, [7.3 mi. ENE Shulerville].",,,South Carolina,1999.0,9.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
66,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.5098,-80.1779,201.0,WGS84,,"Sand Hills State Forest, 0.5 mi. S jct. U.S. 1 and Black Creek along E side Black Creek, [ca. 5.3 airmi. ENE center McBee]",,,South Carolina,1998.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
67,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,35.2601,-79.0442,201.0,WGS84,,"NC 87, 2.7 road mi. N SR 1117, [ca. 7.8 miles SSE Olivia]",,,North Carolina,1997.0,5.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
68,Plethodon chlorobryonis,,34.8814,-83.3522,,WGS84,,"Chattahoochee National Forest, Warwoman Dell",,,Georgia,1997.0,6.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
69,Plethodon chlorobryonis,,34.7497,-83.2269,,WGS84,,"Sumter National Forest, on Forest Route 748 (Spy Rock Road), 0.8 mi (by road) southeast of its junction with U.S. Route 76",,,South Carolina,1997.0,6.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
70,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.3122,-79.8662,805.0,WGS84,,"Williamson Park, [ca. 1.0 airmi. NE center Darlington]",,,South Carolina,1997.0,9.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
71,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
72,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
73,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
74,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
75,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
76,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
77,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
78,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
79,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
80,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
81,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
82,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
83,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
84,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
85,Plethodon chlorobryonis,,35.2886,-77.1275,,WGS84,,"Vanceboro (center of), 1.6 mi (by road) SE of, junction of U.S. Route 17 Business/NC Route 43 and U.S. Route 17 Bypass",,,North Carolina,1996.0,1.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
86,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6683,-80.2224,402.0,WGS84,,"Carolina Sandhills National Wildlife Refuge, [ca. 2.6 rdmi. NE jct. RT 7 and [SR S-13-33/Angelus Rd./Macedonia-Angelus Rd.], Compartment 2E, off end of 7D, [ca. 5.8 airmi. SSW center Ruby]",,,South Carolina,1996.0,2.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
87,Plethodon chlorobryonis,,36.8739,-76.9578,,WGS84,,"Ivor, 4.8 miles (by road) SW of, on VA Route 616",,,Virginia,1996.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
88,Plethodon chlorobryonis,,36.8739,-76.9578,,WGS84,,"Ivor, 4.8 miles (by road) SW of, on VA Route 616",,,Virginia,1996.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
89,Plethodon chlorobryonis,,36.8739,-76.9578,,WGS84,,"Ivor, 4.8 miles (by road) SW of, on VA Route 616",,,Virginia,1996.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
90,Plethodon chlorobryonis,,36.8739,-76.9578,,WGS84,,"Ivor, 4.8 miles (by road) SW of, on VA Route 616",,,Virginia,1996.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
91,Plethodon chlorobryonis,,36.8739,-76.9578,,WGS84,,"Ivor, 4.8 miles (by road) SW of, on VA Route 616",,,Virginia,1996.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
92,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.667,-80.2226,201.0,WGS84,,"Carolina Sandhills National Wildlife Refuge, ca. 2.5 [rd]mi. NE jct. RT 7 and [SR S-13-33/Angelus Rd./Macedonia-Angelus Rd.], Compartment 2E, end of 7D, [ca. 5.9 airmi. SSW center Ruby]",,,South Carolina,1996.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
93,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6404,-78.4839,805.0,WGS84,,White Lake,,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
94,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6404,-78.4839,805.0,WGS84,,White Lake,,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
95,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6404,-78.4839,805.0,WGS84,,White Lake,,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
96,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6404,-78.4839,805.0,WGS84,,White Lake,,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
97,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6404,-78.4839,805.0,WGS84,,White Lake,,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
98,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,35.4306,-76.1604,201.0,WGS84,,"SR 1164 [Outfall Canal Road] ca. 1 mi. S US 264, [ca. 7.5 miles WSW White Plains]",,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
99,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,35.464,-76.4218,201.0,WGS84,,"US 264 ca. 0.1 mi. E Rose Bay Marina, [ca. 2.8 miles SSE Scranton]",,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
100,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,35.4088,-76.2115,1609.0,WGS84,,"SR 1122 [Hydeland Road] ca. 2.0-2.5 mi. S Mattamuskeet School, [ca. 6.6 miles E Swan Quarter]",,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
101,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6404,-78.4839,805.0,WGS84,,White Lake,,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
102,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6404,-78.4839,805.0,WGS84,,White Lake,,,North Carolina,1994.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
103,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.5501,-78.2682,1609.0,WGS84,,ca. 4.7 rd km NNW Rowan off W side NC 210,,,North Carolina,1994.0,9.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
104,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
105,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
106,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
107,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
108,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
109,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
110,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
111,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
112,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,Preserved 27 May 1993,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
113,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6846,-78.4879,805.0,WGS84,,ca. 2 mi. N White Lake,,,North Carolina,1993.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
